"";"namepic";"TV";"position";"ADV1";"ADV2";"ADV3";"ADV4";"ADV5";"ADV6";"ADV7";"ADV8";"ADV9";"ADV10";"ADV11";"ADV12";"ADV13";"ADV14";"ADV15";"ADV16";"ADV17";"ADV18";"ADV19";"ADV20";"ADV21"
"1";"B10";22;"L";20;20;23;7;21;28;25;25;20;40;20;25;25;23;25;17;20;37;20;NA;NA
"2";"B10";22;"R";17;25;20;25;28;15;32;25;20;31;20;20;18;20;17;22;15;21;42;21;23
"3";"B12";9,00000000000001;"L";20;13;12;5;10;10;5;11;18;12;10;15;10;15;10;9;10;23;18;NA;NA
"4";"B12";9,00000000000001;"R";10;10;10;17;92;5;16;8;12;12;10;10;11;10;5;10;10;6;96;10;12
"5";"B13";63;"L";55;66;74;32;65;65;50;65;70;65;75;70;60;59;60;62;65;78;28;NA;NA
"6";"B13";63;"R";70;60;70;58;65;70;66;60;66;64;68;75;60;70;60;60;75;53;69;63;63
"7";"B15";55;"L";50;47;60;13;50;60;40;67;54;50;60;60;45;57;70;46;50;60;39;NA;NA
"8";"B15";55;"R";60;50;60;50;45;50;60;45;52;56;65;60;38;60;45;53;60;45;49;52;48
"9";"B16";16;"L";15;17;20;10;16;18;10;20;12;23;14;25;20;23;20;15;15;30;30;NA;NA
"10";"B16";16;"R";15;20;13;30;85;15;25;20;11;26;18;20;21;20;7;15;25;14;29;15;15
"11";"B18";37;"L";35;25;30;15;30;34;30;33;35;45;36;30;40;27;25;29;30;48;17;NA;NA
"12";"B18";37;"R";20;30;30;37;25;20;27;30;37;42;38;40;39;30;25;26;70;20;42;30;41
"13";"B19";91;"L";90;90;90;47;90;86;90;90;94;10;95;85;95;87;85;95;90;85;85;NA;NA
"14";"B19";91;"R";80;90;93;85;85;90;91;90;92;92;90;92;91;85;93;90;90;96;92;90;91
"15";"B2";48;"L";40;50;50;15;45;50;50;50;39;63;50;50;50;52;50;21;40;66;23;NA;NA
"16";"B2";48;"R";50;65;45;48;45;50;55;50;60;61;40;60;26;50;55;45;10;44;63;50;50
"17";"B20";14;"L";15;15;10;3;15;13;5;18;14;29;10;20;20;19;15;12;12;33;15;NA;NA
"18";"B20";14;"R";5;15;10;25;85;7;17;15;12;23;15;17;12;15;5;12;10;9;18;18;12
"19";"B3";78;"L";78;80;78;20;75;75;70;73;75;75;84;70;75;71;80;72;75;85;76;NA;NA
"20";"B3";78;"R";80;80;85;70;80;85;75;75;80;74;75;82;81;70;85;70;90;83;79;80;85
"21";"B4";60;"L";40;60;56;39;47;61;50;68;70;55;70;60;60;55;65;48;65;56;45;NA;NA
"22";"B4";60;"R";50;70;65;55;60;55;60;50;66;61;50;77;53;65;75;57;55;50;59;70;66
"23";"B5";13;"L";15;15;17;15;17;20;10;15;22;23;20;20;20;14;15;15;15;25;20;NA;NA
"24";"B5";13;"R";20;10;15;18;85;10;22;15;15;21;10;11;16;15;10;17;15;9;24;18;13
"25";"B6";37;"L";30;30;39;14;39;33;30;35;30;45;41;30;35;30;30;28;30;40;25;NA;NA
"26";"B6";37;"R";30;40;33;40;27;30;48;35;37;37;40;42;36;25;20;27;15;28;46;34;37
"27";"B7";79;"L";70;80;84;80;80;75;85;81;87;80;90;70;80;69;75;82;80;76;80;NA;NA
"28";"B7";79;"R";84;85;85;78;83;80;84;75;78;75;80;81;84;75;87;80;90;93;81;82;81
"29";"B9";27;"L";28;20;36;4;30;30;30;30;25;38;25;25;40;22;30;19;20;45;27;NA;NA
"30";"B9";27;"R";15;35;25;36;25;30;38;20;33;37;22;29;29;25;12;29;15;13;44;28;28
"31";"B1";46;"L";45;35;60;39;45;55;50;45;50;50;50;55;50;50;55;37;40;73;40;NA;NA
"32";"B1";46;"R";63;55;51;46;50;40;60;55;42;41;50;48;28;45;45;35;70;47;50;50;49
"33";"B11";83;"L";70;80;89;80;85;80;80;82;80;80;86;80;85;82;80;82;85;70;70;NA;NA
"34";"B11";83;"R";82;85;86;77;85;90;78;80;83;89;70;87;85;80;85;84;95;83;82;80;89
"35";"B14";90;"L";80;93;85;45;92;90;85;85;90;10;87;75;90;93;85;92;90;75;80;NA;NA
"36";"B14";90;"R";90;90;93;83;88;90;90;90;91;85;85;90;89;85;94;91;90;97;87;90;83
"37";"B17";50;"L";65;50;45;19;50;45;35;55;58;50;52;60;50;53;45;70;50;55;35;NA;NA
"38";"B17";50;"R";45;50;55;53;55;50;45;60;58;43;55;58;50;60;60;38;75;55;50;60;50
"39";"B8";81;"L";87;85;27;26;80;89;75;80;88;90;91;80;85;73;75;87;75;78;40;NA;NA
"40";"B8";81;"R";85;85;86;78;83;85;72;80;84;82;80;81;70;80;85;80;85;82;74;76;85
